name,x,y,width,height
r255,2934,7865,3,6
r256,3778,4856,4,3
r257,7428,2394,5,1
r258,8401,5518,3,9
r259,8671,4280,1,12
r260,5663,5718,2,3
r261,2884,9201,1,20
r262,2497,4391,2,17
r263,72,6297,4,3
r264,6105,8284,1,1
r265,2054,3957,3,15
r266,1870,1807,4,8
r267,4099,6094,3,7
r268,38,7434,4,7
r269,2687,4255,4,20
r270,4218,7869,2,13
r271,909,4269,1,3
r272,6812,1737,4,10
r273,2378,8133,2,6
r274,9190,7802,3,17
r275,6897,171,5,13
r276,3848,7640,4,1
r277,1320,6672,2,9
r278,4752,1901,4,3
r279,2954,8135,3,19
r280,5937,3408,4,11
r281,1992,4134,3,5
r282,1846,8464,1,4
r283,9100,5324,3,12
r284,8424,476,5,19
r285,3877,2412,5,5
r286,9284,9517,2,13
r287,7698,1107,1,20
r288,1233,3497,3,20
r289,7511,1812,3,17
r290,7316,9574,1,11
r291,3744,152,2,7
r292,2184,8558,2,9
r293,7084,3182,5,8
r294,3880,609,4,1
r295,9644,9224,1,10
r296,9687,9245,3,1
r297,8839,5598,2,11
r298,5293,9717,3,4
r299,5861,5032,4,15
r300,1841,8680,1,20
r301,8061,3875,5,5
r302,1388,5056,2,13
r303,7294,2507,1,20
r304,428,3667,4,7
r305,8100,6312,5,19
r306,58,972,1,7
r307,8310,771,5,7
r308,7896,3886,1,7
r309,7601,8209,1,7
r310,4678,1378,1,7
r311,5034,3690,4,5
r312,4665,1901,5,13
r313,362,8716,4,18
r314,3584,6465,1,5
r315,4208,9103,4,16
r316,4184,631,3,1
r317,7832,3107,1,15
r318,5417,5965,2,6
r319,7275,8055,2,8
r320,7130,4681,3,7
r321,5252,6463,5,11
r322,8091,7676,1,18
r323,3257,5693,3,13
r324,1499,177,5,4
r325,4455,2801,3,19
r326,8740,3896,3,6
r327,2647,9788,1,19
r328,6932,9715,2,1
r329,8439,3534,2,1
r330,6842,7302,1,3
r331,9100,5114,1,7
r332,8407,3368,3,20
r333,5285,514,2,7
r334,9580,2360,4,20
r335,1851,6655,3,17
r336,3056,3684,1,6
r337,6319,2565,5,20
r338,3055,5503,4,1
r339,4877,6747,4,6
r340,885,430,3,14
r341,6796,4431,1,10
r342,5252,1947,1,8
r343,3401,2202,5,17
r344,2032,9607,5,8
r345,1369,2102,3,6
r346,9037,2445,4,12
r347,1819,6078,1,20
r348,1429,9185,2,18
r349,1719,4917,4,2
r350,4842,6068,4,11
r351,333,8412,2,4
r352,3714,160,1,9
r353,8221,4023,5,6
r354,8608,935,2,18
r355,6858,5443,1,1
r356,1007,1750,1,4
r357,8082,7218,2,5
r358,711,3131,4,13
r359,1564,8613,4,12
r360,7379,3515,4,11
r361,1586,4339,4,10
r362,728,5257,3,4
r363,3376,6888,3,6
r364,3297,70,5,17
r365,4237,2879,1,2
r366,4147,6600,5,3
r367,796,6618,2,10
r368,1773,3290,1,8
r369,4295,672,1,14
r370,2985,4840,5,13
r371,6140,9820,5,15
r372,9653,4720,3,7
r373,6422,7210,1,13
r374,3670,9320,4,18
r375,5249,2466,4,8
r376,6175,4878,1,11
r377,386,5177,1,1
r378,4409,6770,5,16
r379,1433,3857,1,9
r380,6944,2495,5,14
r381,3961,4923,3,20
r382,8498,1825,3,19
r383,1914,6197,5,10
r384,1002,8802,3,7
r385,7853,5103,4,8
r386,1612,9230,5,16
r387,3664,5259,2,16
r388,2089,7400,5,19
r389,7711,2477,3,14
r390,2304,8407,2,8
r391,2895,9308,3,9
r392,950,5198,1,4
r393,8997,9443,2,2
r394,5519,4821,3,17
r395,7858,6685,2,12
r396,9512,1810,5,5
r397,391,3495,3,13
r398,9059,5050,1,12
r399,4088,3416,3,17
r400,4471,7273,4,17
r401,6323,7251,4,5
r402,4164,4016,2,12
r403,1429,2994,5,17
r404,479,3608,3,12
r405,506,7785,4,12
r406,2273,8697,2,19
r407,5543,6985,3,18
r408,2422,8870,3,4
r409,2483,1667,2,6
r410,1557,7788,1,11
r411,3511,5414,2,18
r412,5365,3235,3,20
r413,3377,8452,2,14
r414,5504,7408,2,15
r415,6798,1419,4,11
r416,4873,4574,1,11
r417,8810,1471,3,17
r418,2803,1040,2,17
r419,8979,8694,3,17
r420,6831,1693,1,18
r421,6688,9636,5,9
r422,6021,2941,4,12
r423,3235,7869,2,16
r424,7355,2807,4,16
r425,7409,7789,5,19
r426,6439,5147,1,15
r427,1878,3323,2,16
r428,6849,9375,4,17
r429,4914,9428,4,19
r430,4701,1152,3,10
r431,8865,3421,1,13
r432,4761,2845,1,16
r433,6225,3625,5,20
r434,3321,3963,3,17
r435,3185,9130,4,18
r436,1135,8766,1,1
r437,7278,7232,1,8
r438,9358,3587,1,2
r439,2801,4421,3,17
r440,9308,8594,5,11
r441,3162,7384,5,10
r442,9268,4756,4,4
r443,9438,9192,2,11
r444,1634,7816,2,4
r445,3423,3359,2,9
r446,1950,7056,2,4
r447,7654,2403,1,13
r448,4547,554,5,6
r449,7111,5735,4,7
r450,3692,8008,2,7
r451,7202,2798,5,17
r452,1602,176,4,11
r453,4335,5447,4,18
r454,8167,5462,5,19
r455,3345,7844,4,19
r456,5167,8669,5,17
r457,3760,4695,5,1
r458,1133,2242,4,11
r459,9663,8459,5,10
r460,7416,8210,5,18
r461,8310,3591,3,12
r462,5579,9864,3,3
r463,795,3369,3,8
r464,8646,2115,5,15
r465,6914,9188,4,17
r466,6074,6751,5,12
r467,5499,6333,2,6
r468,9226,8264,1,13
r469,6584,8490,1,9
r470,9701,3605,5,6
r471,9043,2516,4,7
r472,9994,719,3,2
r473,7150,6753,4,2
r474,4641,3522,1,10
r475,7632,3793,3,5
r476,7485,3268,1,9
r477,3146,8339,2,11
r478,3709,4578,3,1
r479,8800,1826,4,3
r480,54,1372,1,16
r481,3203,7286,4,18
r482,6837,3979,3,17
r483,4501,2588,2,9
r484,8626,7597,4,20
r485,2316,6775,5,8
r486,8509,3543,5,10
r487,4364,4688,2,19
r488,4778,9759,4,7
r489,8475,1927,2,10
r490,2430,3139,4,7
r491,6966,2617,3,4
r492,6979,1403,2,7
r493,2920,2201,2,10
r494,665,2702,4,20
r495,2008,1025,4,18
r496,6465,6124,5,16
r497,2618,6213,2,2
r498,3663,1215,3,12
r499,3037,3968,2,15
r500,9082,967,1,14
r501,2409,8306,5,12
r502,7022,3804,5,1
r503,564,2119,1,3
r504,56,1416,4,20
r505,6402,62,5,1
r506,6446,1967,4,4
r507,9383,1237,5,16
r508,8278,7907,3,3
r509,3404,6815,2,7
r510,5326,7588,1,6
r511,2564,4453,3,5
r512,9553,5495,1,4
r513,564,1134,4,10
r514,4369,37,4,12
r515,1920,1805,1,4
r516,6637,1599,2,17
r517,8295,2044,2,7
r518,320,992,3,14
r519,217,8322,4,5
r520,2802,6198,5,20
r521,771,4978,2,14
r522,8771,4752,4,14
r523,6720,2779,3,10
r524,2798,9838,4,18
r525,9088,6229,1,3
r526,4673,6791,4,11
r527,9683,4974,1,9
r528,1154,8912,3,6
r529,9534,6753,2,15
r530,4474,6237,3,2
r531,3017,9302,3,20
r532,4355,8092,2,14
r533,5501,579,4,12
r534,4540,9147,5,14
r535,471,8195,2,10
r536,5036,26,5,2
r537,5168,7323,3,1
r538,3457,3732,4,20
r539,7211,3096,4,17
r540,7840,6756,2,15
r541,9241,1365,2,7
r542,5802,4588,1,19
r543,5519,7052,1,10
r544,8044,1298,2,6
r545,8857,4704,2,18
r546,5020,4698,2,6
r547,2035,8783,4,17
r548,3761,9351,4,5
r549,4211,8711,3,5
r550,6162,4498,5,17
r551,548,5113,4,13
r552,3937,6264,4,4
r553,2006,100,5,15
r554,4608,8531,4,16
r555,9629,291,5,2
r556,2364,3126,1,17
r557,8501,84,5,16
r558,4962,5408,4,6
r559,8889,6164,5,7
r560,9260,2696,2,18
r561,5535,1822,5,8
r562,9769,4084,4,5
r563,8624,8853,5,15
r564,4714,3616,2,15
r565,8302,3874,4,7
r566,2056,9518,3,20
r567,5696,318,2,17
r568,3449,6262,1,7
r569,2576,8741,3,10
r570,7648,2939,2,4
r571,9085,2436,3,2
r572,217,2117,1,16
r573,3537,5561,5,13
r574,357,5179,2,16
r575,6839,7015,2,8
r576,5078,8227,2,16
r577,4266,2359,1,9
r578,1609,4866,5,9
r579,269,7439,2,17
r580,9117,7316,4,1
r581,8811,4539,5,11
r582,6573,1498,3,14
r583,2946,3193,2,6
r584,9482,4494,4,5
r585,5620,9189,3,7
r586,5130,9083,5,1
r587,7363,4114,5,14
r588,4476,9107,2,1
r589,7203,5303,4,15
r590,9580,3932,1,12
r591,5970,323,5,17
r592,5043,831,3,17
r593,743,9132,1,12
r594,4409,8653,3,4
r595,3289,5496,5,15
r596,5984,4388,5,2
r597,1328,701,3,20
r598,8823,6205,1,8
r599,4418,4968,5,2
r600,8863,5332,5,5
r601,579,5223,2,9
r602,4151,2772,3,12
r603,8247,7964,4,4
r604,7404,5383,3,6
r605,7704,3854,5,17
r606,7217,5360,3,13
r607,7657,7934,5,6
r608,1868,461,4,18
r609,6394,7751,1,1
r610,2411,707,5,11
r611,47,9272,1,6
r612,1546,9994,1,1
r613,9392,9648,3,2
r614,4420,2782,3,7
r615,8194,6998,4,17
r616,641,7185,3,12
r617,8972,4186,1,12
r618,1498,8198,3,16
r619,4411,2921,5,15
r620,7338,2411,5,11
r621,510,8269,1,9
r622,8521,4990,2,13
r623,7678,6669,2,11
r624,8241,7061,5,2
r625,5041,349,4,19
r626,2845,7560,1,6
r627,2736,4675,1,5
r628,8846,8995,2,7
r629,6553,5763,4,10
r630,6054,3705,2,16
r631,8485,2415,1,6
r632,9005,7661,2,18
r633,7521,6715,2,8
r634,5656,7570,4,16
r635,9607,5389,5,8
r636,6711,6416,1,16
r637,7748,2900,3,5
r638,4402,2631,1,16
r639,941,467,3,4
r640,8866,8805,3,6
r641,3401,3538,3,13
r642,7913,1807,4,12
r643,1183,8117,1,3
r644,9741,2870,4,11
r645,2820,823,2,4
r646,797,368,1,6
r647,9193,9964,2,16
r648,7219,4776,3,15
r649,4061,9619,4,20
r650,2827,6609,3,15
r651,2497,7218,4,7
r652,5206,582,2,6
r653,5854,2945,3,4
r654,3558,2141,1,18
r655,5299,3400,5,5
r656,6722,7036,2,7
r657,8519,2692,3,19
r658,3594,8486,5,9
r659,8460,6628,5,10
r660,1011,5013,3,20
r661,7956,9141,3,20
r662,8751,1194,4,12
r663,2579,9876,1,1
r664,6829,7521,1,1
r665,1681,6734,5,19
r666,3813,2115,1,8
r667,9638,2987,1,7
r668,273,1586,2,14
r669,5015,6820,2,19
r670,4607,3288,1,13
r671,9941,6543,1,3
r672,4279,864,3,5
r673,1269,375,2,13
r674,2679,3785,3,2
r675,7126,2971,4,18
r676,5658,4280,1,5
r677,3238,9577,3,13
r678,124,461,4,12
r679,6694,4239,4,15
r680,8826,1061,2,16
r681,6053,9487,5,6
r682,3452,4202,4,10
r683,638,5693,4,20
r684,1493,738,2,4
r685,881,5937,5,17
r686,2244,6479,1,10
r687,2271,1570,3,14
r688,3030,8602,3,5
r689,2094,1129,4,1
r690,8206,9203,5,7
r691,3615,3141,5,12
r692,1107,5187,3,15
r693,1245,7894,5,14
r694,6721,8355,1,14
r695,95,8924,5,15
r696,1159,457,3,16
r697,7113,5637,1,5
r698,1184,4295,1,8
r699,6969,5168,5,5
r700,2476,8976,5,12
r701,7747,6379,5,17
r702,3393,6934,5,16
r703,557,3123,3,19
r704,324,4052,3,10
r705,2074,9585,4,6
r706,2233,888,4,16
r707,2221,8813,2,14
r708,3333,1835,2,18
r709,1069,6091,3,8
r710,1926,8538,2,5
r711,6466,792,2,4
r712,9046,3284,4,4
r713,8502,160,4,16
r714,5769,4921,5,8
r715,3957,5882,5,15
r716,1847,6715,3,10
r717,1965,4561,2,16
r718,6246,481,1,16
r719,2814,1925,1,14
r720,7976,6434,5,8
r721,4842,8157,4,1
r722,5510,6036,2,18
r723,1754,3224,4,2
r724,4791,5573,4,4
r725,9075,7451,3,11
r726,5824,1514,1,16
r727,4762,3924,4,6
r728,1968,6963,1,1
r729,446,3943,1,13
r730,7474,3856,5,8
r731,3425,5265,1,5
r732,6885,6697,4,6
r733,3664,7082,3,16
r734,2084,5391,3,20
r735,6701,4539,5,6
r736,1022,1665,5,11
r737,5046,176,2,19
r738,6366,3817,1,13
r739,8253,1233,1,20
r740,6674,5053,2,14
r741,8844,7277,1,2
r742,5542,4611,1,6
r743,7032,4695,3,17
r744,8950,6778,5,20
r745,3410,9279,4,4
r746,2035,7602,4,11
r747,6458,1477,4,17
r748,8130,7013,1,12
r749,558,1882,1,12
r750,6196,1365,3,13
r751,6096,434,5,13
r752,4276,6865,1,17
r753,8625,21,3,13
r754,7401,3555,5,11
r755,9410,2558,5,2
r756,6433,7822,3,1
r757,1623,384,3,5
r758,2270,3334,1,20
r759,3760,5640,2,15
r760,5456,5562,5,3
r761,5990,7330,5,16
r762,5711,9983,5,1
r763,4987,2574,1,17
r764,1085,9973,2,9
r765,3507,4241,5,3
r766,8848,5746,2,20
r767,4164,7213,2,18
r768,1992,7896,5,18
r769,8025,5712,2,4
r770,5345,5936,1,20
r771,7868,2373,4,19
r772,1559,7772,3,11
r773,3276,5096,5,17
r774,9097,7806,4,14
r775,6464,4831,1,9
r776,224,8404,4,20
r777,2137,203,3,16
r778,7738,7651,1,18
r779,9217,8073,1,20
r780,4214,5101,1,2
r781,1364,8877,4,20
r782,3538,7159,3,11
r783,6962,2692,2,12
r784,4390,2939,5,10
r785,9278,9345,3,8
r786,609,2531,1,4
r787,851,4220,1,17
r788,9576,1042,3,17
r789,2744,5714,1,6
r790,8466,5433,2,12
r791,9124,6592,4,10
r792,7574,9971,5,18
r793,8509,6834,1,13
r794,6054,4035,2,4
r795,3997,1087,4,9
r796,9372,9858,4,10
r797,1367,7987,1,17
r798,4058,685,4,8
r799,7724,3414,2,4
r800,1522,209,1,2
r801,9399,9068,3,11
r802,1133,4576,2,8
r803,2658,4426,5,5
r804,9777,6587,2,20
r805,8043,6700,1,7
r806,8493,8009,3,1
r807,8954,1303,5,16
r808,9273,5095,1,1
r809,3444,9578,3,4
r810,4751,5610,4,15
r811,5187,4213,3,20
r812,3509,8777,4,3
r813,7788,1191,3,10
r814,224,666,4,17
r815,2503,3071,3,19
r816,7250,3694,2,10
r817,6904,7442,4,19
r818,7553,2940,3,14
r819,3202,5137,3,13
r820,6068,1129,2,18
r821,7394,5853,4,6
r822,9435,9017,4,15
r823,221,4422,2,7
r824,4463,3270,3,13
r825,303,8550,1,18
r826,2925,9640,2,13
r827,4963,4426,5,19
r828,6627,1453,1,10
r829,6641,8272,4,7
r830,8439,2881,1,14
r831,7326,7635,1,1
r832,1585,8422,1,10
r833,6841,112,5,13
r834,2516,2980,4,5
r835,1573,6803,4,14
r836,3686,9983,4,4
r837,4409,9119,1,9
r838,1836,3277,5,12
r839,2690,9859,2,19
r840,2401,7651,5,10
r841,8739,6597,3,6
r842,4915,6020,2,8
r843,8878,7218,2,14
r844,5010,4676,4,7
r845,6204,8342,3,10
r846,6395,8043,3,14
r847,7779,5737,5,20
r848,6169,9995,1,3
r849,317,7538,1,2
r850,3696,8389,2,17
r851,812,4780,2,9
r852,2552,3548,3,16
r853,2357,6184,4,12
r854,621,9810,2,11
r855,5258,2528,1,1
r856,5411,7483,4,8
r857,1306,5549,5,15
r858,8955,5499,2,7
r859,3578,8615,2,8
r860,2668,458,5,11
r861,7348,6101,3,20
r862,2354,217,4,17
r863,7020,5689,5,20
r864,4784,1844,5,14
r865,7390,8545,5,12
r866,4863,1695,1,7
r867,5282,9629,2,19
r868,6121,9964,3,16
r869,8642,5170,1,1
r870,2455,871,3,12
r871,6942,693,2,17
r872,4469,885,5,8
r873,9377,3901,5,17
r874,9744,7586,4,8
r875,5509,3756,2,6
r876,28,7534,5,16
r877,4959,7029,5,19
r878,8641,8161,2,7
r879,5842,174,4,10
r880,7029,9948,1,18
r881,5324,2821,1,16
r882,8966,8911,4,20
r883,1025,2478,2,3
r884,6122,4187,1,15
r885,6325,1685,3,18
r886,860,9249,1,2
r887,2444,936,3,9
r888,625,4568,5,6
r889,6773,830,5,20
r890,7031,9151,2,6
r891,9886,1948,4,16
r892,7121,1298,1,14
r893,9758,1419,2,14
r894,9120,8282,3,8
r895,2430,2969,4,1
r896,8351,4286,3,4
r897,1597,8761,5,3
r898,3792,3201,2,13
r899,3804,10,3,10
r900,5406,5984,2,16
r901,4630,1211,3,17
r902,4648,8005,5,9
r903,5257,6326,3,1
r904,2960,8405,5,9
r905,7167,1949,3,2
r906,4997,8783,5,16
r907,9340,1014,2,16
r908,6616,8906,1,8
r909,495,1321,1,17
r910,1853,1674,1,17
r911,8471,8006,3,11
r912,9425,9970,2,12
r913,2739,2697,3,10
r914,4900,9036,5,8
r915,699,2014,5,14
r916,9493,8324,1,11
r917,1285,7297,4,19
r918,3046,758,5,20
r919,8508,9173,4,20
r920,2600,4456,2,5
r921,823,7082,3,4
r922,3675,2587,5,11
r923,8005,2101,5,16
r924,1281,1726,3,3
r925,4022,5098,5,9
r926,9334,7006,5,12
r927,8544,611,5,19
r928,6138,9441,5,18
r929,1497,8174,3,16
r930,1894,5805,2,8
r931,7280,530,5,19
r932,892,7277,3,6
r933,6377,486,4,17
r934,7060,2288,5,4
r935,8160,6575,2,9
r936,7156,734,3,9
r937,7990,9864,1,20
r938,1782,7361,1,5
r939,7207,5955,3,16
r940,152,8151,5,6
r941,7309,8494,2,11
r942,1058,7024,4,15
r943,8924,9367,4,9
r944,18,6671,2,10
r945,3003,592,3,16
r946,2456,7281,4,15
r947,1640,2117,1,1
r948,6198,3473,3,19
r949,2218,3458,4,1
r950,4898,599,3,3
r951,9634,5460,3,14
r952,5276,7764,4,4
r953,8921,9882,1,19
r954,8400,5263,1,5
r955,6722,9071,5,6
r956,2084,2487,2,17
r957,7010,4096,3,19
r958,3515,8847,2,18
r959,2375,9595,1,1
r960,7410,4608,3,5
r961,1122,5197,3,10
r962,7862,1802,5,16
r963,2447,6526,5,3
r964,1034,2016,2,19
r965,1727,6065,1,1
r966,3346,2101,3,16
r967,4632,8863,2,17
r968,733,5992,3,7
r969,9315,1795,3,17
r970,3383,8789,2,20
r971,458,841,1,15
r972,9866,948,2,19
r973,8912,9763,4,20
r974,7891,1462,1,3
r975,748,5828,1,17
r976,6902,2278,3,9
r977,5853,409,4,2
r978,9781,9496,3,18
r979,8428,7981,2,12
r980,5443,9064,3,9
r981,1841,8508,5,9
r982,398,4812,1,14
r983,5003,2596,5,7
r984,9348,8154,4,6
r985,346,8860,5,7
r986,5795,7038,3,3
r987,5877,1931,3,8
r988,7928,3312,4,11
r989,1796,7773,4,16
r990,1740,7651,5,19
r991,6910,9415,2,12
r992,2492,325,1,14
r993,8266,9399,3,13
r994,1309,8084,1,1
r995,8421,8876,4,13
r996,5815,3842,1,15
r997,448,6359,5,6
r998,2271,8068,1,15
r999,2068,3583,2,14
r1000,8232,9642,2,8
r1001,2133,7876,5,1
r1002,7033,427,1,5
r1003,7397,9040,4,14
r1004,22,1641,5,11
r1005,2050,3283,3,8
r1006,1552,5152,5,8
r1007,5107,6578,1,2
r1008,9615,2993,5,15
r1009,2895,1609,3,12
r1010,3930,5400,3,6
r1011,18,2207,4,15
r1012,4106,8855,3,18
r1013,3726,2256,4,20
r1014,7181,6268,1,7
r1015,3187,1286,4,13
r1016,6005,4314,5,3
r1017,5657,1226,5,10
r1018,1773,7574,5,4
r1019,7697,6556,1,8
r1020,6815,1369,1,19
r1021,1737,7608,2,10
r1022,3753,6828,2,15
r1023,7622,2409,5,13
r1024,9232,7449,2,12
r1025,9642,3342,2,11
r1026,3193,8744,2,20
r1027,120,1063,4,10
r1028,4787,2457,4,20
r1029,4484,9583,5,10
r1030,2827,3180,1,11
r1031,9402,9846,2,9
r1032,7214,7456,5,1
r1033,2440,49,4,5
r1034,2489,87,1,17
r1035,5350,2864,1,7
r1036,2787,9368,4,20
r1037,5141,7479,5,9
r1038,8222,6972,5,7
r1039,8692,1509,3,10
r1040,8173,5880,4,11
r1041,6636,2695,5,12
r1042,948,187,2,10
r1043,5304,4858,4,3
r1044,1884,4983,4,4
r1045,1487,4218,4,15
r1046,5705,6988,2,1
r1047,4108,1652,3,16
r1048,8397,1794,2,17
r1049,6451,8126,4,6
r1050,4632,1606,2,10
r1051,8701,3523,4,5
r1052,7567,8148,3,1
r1053,4409,8377,3,17
r1054,623,2030,1,13
r1055,7281,4096,3,3
r1056,5194,8118,2,20
r1057,7934,4245,1,2
r1058,9547,6114,5,5
r1059,2812,914,4,16
r1060,7581,193,5,9
r1061,2727,754,1,11
r1062,6549,3597,5,11
r1063,1527,7609,4,12
r1064,7441,634,2,1
r1065,2811,9086,1,10
r1066,3990,711,1,8
r1067,4783,4033,1,13
r1068,7287,384,4,6
r1069,8401,500,2,16
r1070,6778,1371,3,19
r1071,5440,6958,4,6
r1072,4718,5611,2,4
r1073,7412,1853,1,19
r1074,9463,8623,5,10
r1075,2895,4453,1,8
r1076,5138,3038,1,4
r1077,1467,2964,1,12
r1078,9245,2512,1,18
r1079,1677,7493,3,13
r1080,946,5639,3,5
r1081,5329,6372,4,15
r1082,477,1568,5,16
r1083,8085,3627,2,7
r1084,6763,4113,1,5
r1085,689,5799,2,6
